0	0	2.54	1.628
100	100	2.54	1.628
200	100	2.54	1.628
300	100	2.54	1.628
400	100	2.54	1.628
500	100	2.54	1.628
600	100	2.54	1.628
700	100	2.54	1.628
800	100	2.54	1.628
900	100	2.54	1.628
1000	100	2.54	1.628
1100	100	2.54	1.628
1200	100	2.54	1.628
1300	100	2.54	1.628
1400	100	2.54	1.628
1500	100	2.54	1.628
1600	100	2.54	1.628
1700	100	2.54	1.628
1800	100	2.54	1.628
1900	100	2.54	1.628
2000	100	2.54	1.628
2100	100	2.54	1.628
2200	100	2.54	1.628
2300	100	2.54	1.628
2400	100	2.54	1.628
2500	100	2.54	1.628
2600	100	2.54	1.628
2700	100	2.54	1.628
2800	100	2.54	1.628
2900	100	2.54	1.628
3000	100	2.54	1.628
3100	100	2.54	1.628
3200	100	2.54	1.628
3300	100	2.54	1.628
3400	100	2.54	1.628
3500	100	2.54	1.628
3600	100	2.54	1.628
3700	100	2.54	1.628
3800	100	2.54	1.628
3900	100	2.54	1.628
4000	100	2.54	1.628
4100	100	2.54	1.628
4200	100	2.54	1.628
4300	100	2.54	1.628
4400	100	2.54	1.628
4500	100	2.54	1.628
4600	100	2.54	1.628
4700	100	2.54	1.628
4800	100	2.54	1.628
4900	100	2.54	1.628
5000	100	2.54	1.628
5100	100	2.54	1.628
5200	100	2.54	1.628
5300	100	2.54	1.628
5400	100	2.54	1.628
5500	100	2.54	1.628
5600	100	2.54	1.628
5700	100	2.54	1.628
5800	100	2.54	1.628
5900	100	2.54	1.628
6000	100	2.54	1.628
6100	100	2.54	1.628
6200	100	2.54	1.628
6300	100	2.54	1.628
6400	100	2.54	1.628
6500	100	2.54	1.628
6600	100	2.54	1.628
6700	100	2.54	1.628
6800	100	2.54	1.628
6900	100	2.54	1.628
7000	100	2.54	1.628
7100	100	2.54	1.628
7200	100	2.54	1.628
7300	100	2.54	1.628
7400	100	2.54	1.628
7500	100	2.54	1.628
7600	100	2.54	1.628
7700	100	2.54	1.628
7800	100	2.54	1.628
7900	100	2.54	1.628
8000	100	2.54	1.628
8100	100	2.54	1.628
8200	100	2.54	1.628
8300	100	2.54	1.628
8400	100	2.54	1.628
8500	100	2.54	1.628
8600	100	2.54	1.628
8700	100	2.54	1.628
8800	100	2.54	1.628
8900	100	2.54	1.628
9000	100	2.54	1.628
9100	100	2.54	1.628
9200	100	2.54	1.628
9300	100	2.54	1.628
9400	100	2.54	1.628
9500	100	2.54	1.628
9600	100	2.54	1.628
9700	100	2.54	1.628
9800	100	2.54	1.628
9900	100	2.54	1.628
10000	100	2.54	1.628
10100	100	2.54	1.628
10200	100	2.54	1.628
10300	100	2.54	1.628
10400	100	2.54	1.628
10500	100	2.54	1.628
10600	100	2.54	1.628
10700	100	2.54	1.628
10800	100	2.54	1.628
10900	100	2.54	1.628
11000	100	2.54	1.628
11100	100	2.54	1.628
11200	100	2.54	1.628
11300	100	2.54	1.628
11400	100	2.54	1.628
11500	100	2.54	1.628
11600	100	2.54	1.628
11700	100	2.54	1.628
11800	100	2.54	1.628
11900	100	2.54	1.628
12000	100	2.54	1.628
12100	100	2.54	1.628
12200	100	2.54	1.628
12300	100	2.54	1.628
12400	100	2.54	1.628
12500	100	2.54	1.628
12600	100	2.54	1.628
